id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3309673,Private Room in Scarborough,16667436,Eddie,,Steeles,43.81443,-79.32789,Private room,28,3,23,2019-02-28,0.43,2,223
3312043,Danforth Village Century Home,1485530,Louise,,Danforth,43.68125,-79.34434,Entire home/apt,248,3,7,2016-08-15,0.16,1,0
3315154,CHARMING & SPACIOUS DOWNTOWN HERITAGE HOME!,698055,Robert,,Cabbagetown-South St.James Town,43.66557,-79.36721,Entire home/apt,96,1,223,2019-02-19,3.96,1,358
3319040,Toronto 'Beach' funky writer's space by the lake.,16757099,David,,The Beaches,43.67087,-79.29035,Entire home/apt,54,1,5,2018-09-09,0.15,1,3
3329274,A perfect city get away.,1442525,Erin,,Dovercourt-Wallace Emerson-Junction,43.66587,-79.4311,Entire home/apt,110,5,33,2018-07-16,0.58,1,157
3330285,Apartment in Mid-town,6029682,J-P,,Mount Pleasant West,43.7051,-79.39661,Entire home/apt,75,1,3,2015-12-25,0.05,1,0
3332077,Comfort & Style on the Danforth,2325292,Jelena,,East End-Danforth,43.68586,-79.31243,Entire home/apt,94,2,154,2019-01-01,2.69,1,298
3332196,Yonge St. uptown entire apartment,15621599,Tam,,Newtonbrook West,43.78717,-79.4177,Entire home/apt,70,3,68,2018-06-17,1.45,1,0
3334377,Bachelor in trendy St. Clair West,12991911,Nina,,Wychwood,43.68053,-79.42872,Entire home/apt,95,2,7,2018-10-07,0.12,1,0
3339294,Large eclectic room in amazing loft,13066292,Jose,,Little Portugal,43.64831,-79.43192,Private room,91,1,117,2019-01-04,2.06,17,354
3341643,Beautiful and Homey Multilevel Townhouse,12813271,Éva,,Niagara,43.64335,-79.40625,Entire home/apt,350,1,16,2018-09-13,0.28,1,358
3344276,"1 Br+den right @ High Park, Toronto",9966270,Laszlo,,High Park North,43.65452,-79.46617,Entire home/apt,78,4,1,2015-06-25,0.02,1,0
3348401,"Spacious, charming 3 storey home",16898206,Rory,,Roncesvalles,43.64692,-79.44387,Entire home/apt,196,3,4,2018-08-28,0.13,1,96
3353809,Annex comfort,16871974,Fatima,,Annex,43.66876,-79.41196,Private room,50,1,13,2018-09-11,0.46,1,88
3364091,Relaxed Family Home in Roncesvalles,16972910,Gillian,,Roncesvalles,43.64847,-79.4451,Entire home/apt,200,28,9,2017-08-15,0.16,1,0
3364609,South Beach Marina Townhomes,10088357,Bill,,Niagara,43.63285,-79.39995,Private room,80,2,62,2018-11-11,1.09,1,0
